id,title,User,Publication path,Authors,Publisher details
400,"Global, regional, and national sex-specific burden and control of the HIV epidemic, 1990–2019, for 204 countries and territories: the Global Burden of Diseases Study 2019",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tZNjHjIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tZNjHjIAAAAJ:Tyk-4Ss8FVUC,"D Jahagirdar, MK Walters, A Novotney, ED Brewer, TD Frank, A Carter, ...","The Lancet HIV 8 (10), e633-e651"
401,"Measuring routine childhood vaccination coverage in 204 countries and territories, 1980–2019: a systematic analysis for the Global Burden of Disease Study 2020, Release 1",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tZNjHjIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tZNjHjIAAAAJ:zYLM7Y9cAGgC,"NC Galles, PY Liu, RL Updike, N Fullman, J Nguyen, S Rolfe, AN Sbarra, ...","The Lancet 398 (10299), 503-521"
402,Improved hybrid block-based motion estimation for inter-frame coding,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tZNjHjIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tZNjHjIAAAAJ:UeHWp8X0CEIC,"YA Salih, LE George","Circuits, Systems, and Signal Processing 40 (7), 3500-3522"
403,Dynamic scene change detection in video coding,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tZNjHjIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tZNjHjIAAAAJ:9yKSN-GCB0IC,"Y Salih, LE George","International Journal of Engineering 33 (5), 966-974"
404,Improved image compression scheme using hybrid encoding algorithm,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tZNjHjIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tZNjHjIAAAAJ:eQOLeE2rZwMC,"YA Salih, AA Mohammed, LE George","Kurdistan Journal of Applied Research 4 (2), 90-101"
405,Fast and Illumination Invariant Face Tracker Algorithm for Complex Video Environments,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tZNjHjIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tZNjHjIAAAAJ:qjMakFHDy7sC,"AA Mohammed, YA Salih",
406,Efficient Face Tracking and Detection in Video: Based on Template Matching,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=tZNjHjIAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=tZNjHjIAAAAJ:2osOgNQ5qMEC,"AA Mohammed, A Laubenheimer, YA Salih, K Germany","Proceedings of the International Conference on Image Processing, Computer …"
407,توزيع تعدد أشكال النوكليوتيدات المفردة Her2 في مواقع جغرافية مختلفة في محافظة السليمانية، العراق,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Wo4BNdoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Wo4BNdoAAAAJ:u5HHmVD_uO8C,"سعدالدين شمس الدين, إسراء, بابكر مينا, أحمد حمه صور, طيبة","مجلة تمریض الموصل 11 (2), 385-395"
408,Correlation between ABO blood group and coronavirus disease in 2019 (COVID-19) vulnerability,data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=Wo4BNdoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=Wo4BNdoAAAAJ:9yKSN-GCB0IC,"NY Mohsin, MAB Baker, IS Shmasaldin, HK Saeed",AIP Conference Proceedings 2450 (1)
409,"Beyond economic growth: neo-liberalism, alternative theories, and the future of economic development",data1,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=BtXxWhoAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=BtXxWhoAAAAJ:9yKSN-GCB0IC,"NA Fatah, HA Bayz, KQ Yaqub, LE Karem, KH Ahamd, HHS Hussein, ...","British Journal of Interdisciplinary Research 2 (4), 1-15"
